Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
RABAGO,2487,0.001,16765,1.46425747503441e-05,0.7196679064047987
RABB,2487,0.001,8539,1.46425747503441e-05,0.7196825489795491
RABE,2487,0.001,7731,1.46425747503441e-05,0.7196971915542995
RABER,2487,0.001,9646,1.46425747503441e-05,0.7197118341290498
RABIDEAU,2487,0.001,8440,1.46425747503441e-05,0.7197264767038002
RABIN,2487,0.001,18494,1.46425747503441e-05,0.7197411192785506
RABINOWITZ,2487,0.001,8360,1.46425747503441e-05,0.7197557618533009
RABON,2487,0.001,9403,1.46425747503441e-05,0.7197704044280513
RABY,4974,0.002,5391,2.92851495006882e-05,0.719799689577552
RACETTE,2487,0.001,16395,1.46425747503441e-05,0.7198143321523024
RACHAL,2487,0.001,12971,1.46425747503441e-05,0.7198289747270528
RACHEL,2487,0.001,12538,1.46425747503441e-05,0.7198436173018031
RACINE,4974,0.002,5330,2.92851495006882e-05,0.7198729024513039
RACKERS,2487,0.001,15073,1.46425747503441e-05,0.7198875450260542
