Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
RIMER,2487,0.001,17170,1.46425747503441e-05,0.7446334963541452
RIMMER,4974,0.002,6787,2.92851495006882e-05,0.744662781503646
RINE,2487,0.001,11162,1.46425747503441e-05,0.7446774240783963
RINER,2487,0.001,15687,1.46425747503441e-05,0.7446920666531467
RINES,2487,0.001,11966,1.46425747503441e-05,0.7447067092278971
RINEY,2487,0.001,12965,1.46425747503441e-05,0.7447213518026474
RINGER,4974,0.002,6523,2.92851495006882e-05,0.7447506369521482
RINGGOLD,2487,0.001,18023,1.46425747503441e-05,0.7447652795268985
RINGLER,2487,0.001,9193,1.46425747503441e-05,0.7447799221016489
RINGO,2487,0.001,10575,1.46425747503441e-05,0.7447945646763993
RINK,2487,0.001,13940,1.46425747503441e-05,0.7448092072511496
RINKER,2487,0.001,8994,1.46425747503441e-05,0.7448238498259
RIO,2487,0.001,13665,1.46425747503441e-05,0.7448384924006504
RIOJAS,4974,0.002,6062,2.92851495006882e-05,0.7448677775501511
RIORDAN,4974,0.002,5114,2.92851495006882e-05,0.7448970626996518
RIOS,72123,0.028999999999999998,392,0.0004246346677599789,0.7453216973674118
RIOUX,2487,0.001,8173,1.46425747503441e-05,0.7453363399421622
RIPPEON,2487,0.001,12531,1.46425747503441e-05,0.7453509825169126
RIPPEY,2487,0.001,18022,1.46425747503441e-05,0.7453656250916629
RIPPLE,2487,0.001,13172,1.46425747503441e-05,0.7453802676664133
RIPPY,2487,0.001,8357,1.46425747503441e-05,0.7453949102411637
RISCH,2487,0.001,14200,1.46425747503441e-05,0.745409552815914
RISER,2487,0.001,11316,1.46425747503441e-05,0.7454241953906644
RISH,2487,0.001,12740,1.46425747503441e-05,0.7454388379654148
RISHEL,2487,0.001,18021,1.46425747503441e-05,0.7454534805401651
RISHER,2487,0.001,11466,1.46425747503441e-05,0.7454681231149155
RISINGER,2487,0.001,7650,1.46425747503441e-05,0.7454827656896659
RISK,2487,0.001,16754,1.46425747503441e-05,0.7454974082644162
RISLEY,2487,0.001,7578,1.46425747503441e-05,0.7455120508391666
RISNER,4974,0.002,7306,2.92851495006882e-05,0.7455413359886673
RIST,2487,0.001,13664,1.46425747503441e-05,0.7455559785634177
RISTAU,2487,0.001,16753,1.46425747503441e-05,0.7455706211381681
RISTER,2487,0.001,13424,1.46425747503441e-05,0.7455852637129184
RITA,2487,0.001,16027,1.46425747503441e-05,0.7455999062876688
RITCH,2487,0.001,11792,1.46425747503441e-05,0.7456145488624192
RITCHIE,22383,0.009000000000000001,1318,0.0001317831727530969,0.7457463320351723
RITENOUR,2487,0.001,12964,1.46425747503441e-05,0.7457609746099226
RITER,2487,0.001,18480,1.46425747503441e-05,0.745775617184673
RITTENBERRY,2487,0.001,16752,1.46425747503441e-05,0.7457902597594234
RITTENHOUSE,4974,0.002,5434,2.92851495006882e-05,0.7458195449089241
RITTER,27357,0.011000000000000001,1131,0.0001610683222537851,0.7459806132311779
RITZ,4974,0.002,5768,2.92851495006882e-05,0.7460098983806787
RITZMAN,2487,0.001,13663,1.46425747503441e-05,0.746024540955429
RIVAS,39792,0.016,743,0.0002342811960055056,0.7462588221514346
RIVENBARK,2487,0.001,17585,1.46425747503441e-05,0.7462734647261849
RIVENBURG,2487,0.001,13662,1.46425747503441e-05,0.7462881073009353
RIVER,2487,0.001,15371,1.46425747503441e-05,0.7463027498756857
RIVERA,281031,0.113,61,0.0016546109467888833,0.7479573608224745
RIVERIA,2487,0.001,12530,1.46425747503441e-05,0.7479720033972249
RIVERS,42279,0.017,701,0.00024892377075584973,0.7482209271679807
RIVES,2487,0.001,8025,1.46425747503441e-05,0.7482355697427311
RIVET,2487,0.001,16026,1.46425747503441e-05,0.7482502123174815
RIVIERA,2487,0.001,17169,1.46425747503441e-05,0.7482648548922318
RIX,2487,0.001,13423,1.46425747503441e-05,0.7482794974669822
RIZER,2487,0.001,15686,1.46425747503441e-05,0.7482941400417326
RIZO,2487,0.001,9090,1.46425747503441e-05,0.7483087826164829
RIZZI,2487,0.001,11161,1.46425747503441e-05,0.7483234251912333
RIZZUTO,2487,0.001,12148,1.46425747503441e-05,0.7483380677659837
RO,2487,0.001,18479,1.46425747503441e-05,0.748352710340734
ROA,2487,0.001,8438,1.46425747503441e-05,0.7483673529154844
ROACH,39792,0.016,762,0.0002342811960055056,0.7486016341114899
ROACHE,2487,0.001,15370,1.46425747503441e-05,0.7486162766862403
ROAN,2487,0.001,9642,1.46425747503441e-05,0.7486309192609907
ROANE,2487,0.001,8993,1.46425747503441e-05,0.748645561835741
ROARK,17409,0.006999999999999999,1914,0.0001024980232524087,0.7487480598589935
ROBARDS,2487,0.001,16383,1.46425747503441e-05,0.7487627024337439
ROBBINS,74610,0.03,366,0.00043927724251032304,0.7492019796762542
ROBBS,2487,0.001,15369,1.46425747503441e-05,0.7492166222510046
ROBERSON,59688,0.024,474,0.00035142179400825843,0.7495680440450129
ROBERTO,2487,0.001,9913,1.46425747503441e-05,0.7495826866197632
ROBERTS,380511,0.153,43,0.0022403139368026475,0.7518230005565659
ROBERTSON,159168,0.064,147,0.0009371247840220224,0.7527601253405879
ROBESON,2487,0.001,9641,1.46425747503441e-05,0.7527747679153383
ROBICHAUD,4974,0.002,6294,2.92851495006882e-05,0.752804053064839
ROBICHAUX,4974,0.002,6522,2.92851495006882e-05,0.7528333382143397
ROBICHEAUX,2487,0.001,12529,1.46425747503441e-05,0.7528479807890901
ROBIDOUX,2487,0.001,10433,1.46425747503441e-05,0.7528626233638405
ROBIE,2487,0.001,17168,1.46425747503441e-05,0.7528772659385908
ROBILLARD,2487,0.001,12528,1.46425747503441e-05,0.7528919085133412
ROBIN,4974,0.002,6582,2.92851495006882e-05,0.7529211936628419
ROBINETT,4974,0.002,7461,2.92851495006882e-05,0.7529504788123427
ROBINSON,579471,0.233,20,0.0034117199168301753,0.7563621987291729
ROBISON,22383,0.009000000000000001,1329,0.0001317831727530969,0.756493981901926
ROBITAILLE,2487,0.001,10309,1.46425747503441e-05,0.7565086244766763
ROBLES,49740,0.02,606,0.000292851495006882,0.7568014759716832
